NA12776	NA12776
HG01630	HG01630
HG00108	HG00108
NA11830	NA11830
NA12485	NA12485
HG01609	HG01609
HG00110	HG00110
NA11917	NA11917
NA12707	NA12707
HG01611	HG01611
HG00115	HG00115
NA11931	NA11931
NA12740	NA12740
HG01616	HG01616
HG00127	HG00127
NA11993	NA11993
NA12752	NA12752
HG01604	HG01604
HG00134	HG00134
NA12004	NA12004
NA12865	NA12865
HG00122	HG00122
NA10851	NA10851
NA12872	NA12872
HG00177	HG00177
NA11892	NA11892
NA12877	NA12877
HG00103	HG00103
NA07435	NA07435
NA12889	NA12889
HG00189	HG00189
NA10837	NA10837
NA12891	NA12891
HG00153	HG00153
HG00324	HG00324
HG00329	HG00329
NA12249	NA12249
HG00331	HG00331
NA12275	NA12275
HG00273	HG00273
NA12282	NA12282
HG00278	HG00278
NA12287	NA12287
HG00280	HG00280
NA12890	NA12890
HG00261	HG00261
HG00266	HG00266
NA12718	NA12718
HG00235	HG00235
NA12749	NA12749
HG00242	HG00242
NA12751	NA12751
HG00254	HG00254
NA12763	NA12763
HG00259	HG00259
NA12775	NA12775
HG00247	HG00247
NA12802	NA12802
HG00336	HG00336
NA12383	NA12383
HG02215	HG02215
HG00343	HG00343
NA12489	NA12489
HG00285	HG00285
NA12340	NA12340
HG00312	HG00312
NA12376	NA12376
NA12155	NA12155
NA12814	NA12814
NA12864	NA12864
HG02234	HG02234
HG02239	HG02239
HG00381	HG00381
HG02222	HG02222
HG00362	HG00362
HG00367	HG00367
HG00350	HG00350
HG00355	HG00355
HG00379	HG00379
HG01500	HG01500
HG01505	HG01505
HG01512	HG01512
HG01517	HG01517
HG01783	HG01783
HG01790	HG01790
HG01699	HG01699
NA12273	NA12273
HG01702	HG01702
NA12329	NA12329
HG01707	HG01707
NA12045	NA12045
NA12057	NA12057
NA10847	NA10847
HG01771	HG01771
NA10854	NA10854
HG01687	HG01687
NA11840	NA11840
HG01694	HG01694
NA10859	NA10859
NA10861	NA10861
NA06997	NA06997
NA07022	NA07022
HG01757	HG01757
NA07034	NA07034
HG01776	HG01776
NA10830	NA10830
NA10835	NA10835
NA10842	NA10842
NA07349	NA07349
NA12146	NA12146
HG02236	HG02236
NA11995	NA11995
NA12006	NA12006
NA12044	NA12044
NA12056	NA12056
NA12335	NA12335
NA12342	NA12342
NA12347	NA12347
NA11894	NA11894
NA11919	NA11919
NA11933	NA11933
NA12145	NA12145
NA12234	NA12234
NA20503	NA20503
NA12239	NA12239
NA20508	NA20508
NA12400	NA12400
NA20510	NA20510
NA12708	NA12708
NA20522	NA20522
NA11832	NA11832
NA20527	NA20527
NA11882	NA11882
NA20539	NA20539
NA12272	NA12272
NA20541	NA20541
NA10860	NA10860
NA20755	NA20755
NA10865	NA10865
NA20762	NA20762
NA10846	NA10846
NA20774	NA20774
NA10853	NA10853
NA20589	NA20589
NA20534	NA20534
NA20515	NA20515
NA20519	NA20519
NA20767	NA20767
NA20521	NA20521
NA20798	NA20798
NA20526	NA20526
NA20801	NA20801
NA20832	NA20832
NA20502	NA20502
NA20813	NA20813
NA20507	NA20507
NA20786	NA20786
NA20806	NA20806
NA20818	NA20818
NA20514	NA20514
NA20785	NA20785
NA20792	NA20792
NA20754	NA20754
NA20759	NA20759
NA20761	NA20761
NA20538	NA20538
NA20540	NA20540
NA20773	NA20773
NA20778	NA20778
NA20797	NA20797
NA20800	NA20800
NA20805	NA20805
NA20766	NA20766
NA20588	NA20588
NA20533	NA20533
NA20808	NA20808
NA20812	NA20812
NA20810	NA20810
NA20829	NA20829
NA20790	NA20790
NA20831	NA20831
NA20795	NA20795
NA20803	NA20803
NA20815	NA20815
NA20827	NA20827
NA20822	NA20822
NA20504	NA20504
NA20509	NA20509
NA20530	NA20530
NA20535	NA20535
NA20511	NA20511
NA20516	NA20516
NA20542	NA20542
NA20528	NA20528
NA20763	NA20763
NA20768	NA20768
NA20770	NA20770
NA20799	NA20799
NA20802	NA20802
NA20819	NA20819
NA20821	NA20821
NA20756	NA20756
NA20807	NA20807
NA20585	NA20585
NA20787	NA20787
NA20814	NA20814
NA20775	NA20775
NA06986	NA06986
NA06993	NA06993
NA12414	NA12414
NA12546	NA12546
NA12717	NA12717
NA12748	NA12748
NA12750	NA12750
NA12762	NA12762
NA12767	NA12767
NA12801	NA12801
NA12813	NA12813
NA12344	NA12344
NA12375	NA12375
NA12399	NA12399
NA12818	NA12818
NA12832	NA12832
NA12875	NA12875
NA20758	NA20758
NA20760	NA20760
NA20765	NA20765
NA20809	NA20809
NA20811	NA20811
NA20828	NA20828
NA20772	NA20772
NA20796	NA20796
NA20804	NA20804
NA20816	NA20816
